Id,ShopDate,Store,Item,Shelf,Unit,Quantity, Price 
1,1/3/2017,Tesco,Gala apples,Fruit and veg,Kilogram,1, 0.80 
2,1/3/2017,Tesco,Bramley apples,Fruit and veg,Kilogram,1, 0.98 
3,1/3/2017,Tesco,Bananas,Fruit and veg,Kilogram,1, 0.68 
4,1/3/2017,Tesco,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.22 
5,1/3/2017,Tesco,Own brand yoghurts,Dairy,Each,1, 0.45 
6,1/3/2017,Tesco,Cheddar,Dairy,Kilogram,3, 2.20 
7,1/3/2017,Tesco,Muesli,Groceries,Kilogram bag,2, 2.47 
8,1/3/2017,Tesco,Special K red berries,Groceries,500gm box,1, 3.00 
9,1/3/2017,Tesco,Multigrain bread,Groceries,500 gm loaf,1, 0.97 
10,1/3/2017,Tesco,Potatoes,Fruit and veg,Kilogram,1, 0.71 
11,1/3/2017,Tesco,Onions,Fruit and veg,Kilogram,1, 0.60 
12,1/3/2017,Tesco,Butter,Dairy,250 gm pack,1, 1.41 
13,1/3/2017,Tesco,Coffee beans,Groceries,Standard box,3, 2.32 
14,1/3/2017,Tesco,Vimto squash,Groceries,Standard bottle,1, 1.31 
15,1/3/2017,Tesco,Tomato ketchup,Groceries,Standard bottle,2, 0.87 
16,1/3/2017,Tesco,Eggs,Groceries,Box of 12 large,2, 1.78 
17,1/6/2017,Marks and Spencer,Broccoli,Fruit and veg,Kilogram,1, 0.68 
18,1/6/2017,Marks and Spencer,Semi-skimmed milk,Dairy,4 pint bottle,3, 1.36 
19,1/6/2017,Marks and Spencer,Activia yoghurts,Dairy,4 pack,2, 1.49 
20,1/6/2017,Marks and Spencer,Muesli,Groceries,Kilogram bag,2, 2.94 
21,1/6/2017,Marks and Spencer,Beef mince,Meat,Kilogram,3, 5.21 
22,1/6/2017,Marks and Spencer,Potatoes,Fruit and veg,Kilogram,1, 0.82 
23,1/6/2017,Marks and Spencer,Onions,Fruit and veg,Kilogram,3, 0.68 
24,1/6/2017,Marks and Spencer,Teabags,Groceries,Box of 80,2, 1.39 
25,1/6/2017,Marks and Spencer,Coffee beans,Groceries,Standard box,1, 2.69 
26,1/6/2017,Marks and Spencer,Vimto squash,Groceries,Standard bottle,3, 1.49 
27,1/6/2017,Marks and Spencer,Baked beans,Groceries,4 tin pack,1, 1.60 
28,1/6/2017,Marks and Spencer,Tomato ketchup,Groceries,Standard bottle,1, 0.97 
29,1/6/2017,Marks and Spencer,Margarita pizzas,Groceries,"12"" diameter",1, 2.82 
30,1/24/2017,Tesco,Bramley apples,Fruit and veg,Kilogram,2, 1.00 
31,1/24/2017,Tesco,Broccoli,Fruit and veg,Kilogram,1, 0.58 
32,1/24/2017,Tesco,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.21 
33,1/24/2017,Tesco,Special K red berries,Groceries,500gm box,1, 2.94 
34,1/24/2017,Tesco,Beef mince,Meat,Kilogram,1, 4.63 
35,1/24/2017,Tesco,Onions,Fruit and veg,Kilogram,1, 0.58 
36,1/24/2017,Tesco,Butter,Dairy,250 gm pack,1, 1.37 
37,1/24/2017,Tesco,Teabags,Groceries,Box of 80,1, 1.23 
38,1/24/2017,Tesco,Tomato ketchup,Groceries,Standard bottle,2, 0.85 
39,1/24/2017,Tesco,Margarita pizzas,Groceries,"12"" diameter",1, 2.50 
40,1/28/2017,Asda,Gala apples,Fruit and veg,Kilogram,1, 0.75 
41,1/28/2017,Asda,Bananas,Fruit and veg,Kilogram,1, 0.65 
42,1/28/2017,Asda,Broccoli,Fruit and veg,Kilogram,3, 0.57 
43,1/28/2017,Asda,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.13 
44,1/28/2017,Asda,Activia yoghurts,Dairy,4 pack,2, 1.24 
45,1/28/2017,Asda,Own brand yoghurts,Dairy,Each,1, 0.42 
46,1/28/2017,Asda,Cheddar,Dairy,Kilogram,2, 2.08 
47,1/28/2017,Asda,White sliced bread,Groceries,500 gm loaf,1, 0.73 
48,1/28/2017,Asda,Onions,Fruit and veg,Kilogram,1, 0.55 
49,1/28/2017,Asda,Butter,Dairy,250 gm pack,3, 1.31 
50,1/28/2017,Asda,Baked beans,Groceries,4 tin pack,1, 1.34 
51,1/28/2017,Asda,Margarita pizzas,Groceries,"12"" diameter",1, 2.34 
52,2/2/2017,Marks and Spencer,Gala apples,Fruit and veg,Kilogram,2, 0.94 
53,2/2/2017,Marks and Spencer,Chicken portions,Meat,Kilogram,2, 1.72 
54,2/2/2017,Marks and Spencer,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.40 
55,2/2/2017,Marks and Spencer,Activia yoghurts,Dairy,4 pack,3, 1.46 
56,2/2/2017,Marks and Spencer,Own brand yoghurts,Dairy,Each,1, 0.52 
57,2/2/2017,Marks and Spencer,Cheddar,Dairy,Kilogram,3, 2.52 
58,2/2/2017,Marks and Spencer,Muesli,Groceries,Kilogram bag,1, 2.89 
59,2/2/2017,Marks and Spencer,Special K red berries,Groceries,500gm box,1, 3.38 
60,2/2/2017,Marks and Spencer,Beef mince,Meat,Kilogram,1, 5.26 
61,2/2/2017,Marks and Spencer,Potatoes,Fruit and veg,Kilogram,1, 0.79 
62,2/2/2017,Marks and Spencer,Onions,Fruit and veg,Kilogram,1, 0.70 
63,2/2/2017,Marks and Spencer,Butter,Dairy,250 gm pack,1, 1.63 
64,2/2/2017,Marks and Spencer,Teabags,Groceries,Box of 80,1, 1.40 
65,2/2/2017,Marks and Spencer,Coffee beans,Groceries,Standard box,2, 2.62 
66,2/2/2017,Marks and Spencer,Baked beans,Groceries,4 tin pack,1, 1.62 
67,2/3/2017,Morrison,Cheddar,Dairy,Kilogram,1, 2.20 
68,2/3/2017,Morrison,Special K red berries,Groceries,500gm box,1, 2.88 
69,2/3/2017,Morrison,Beef mince,Meat,Kilogram,3, 4.50 
70,2/3/2017,Morrison,Teabags,Groceries,Box of 80,1, 1.18 
71,2/3/2017,Morrison,Baked beans,Groceries,4 tin pack,1, 1.34 
72,2/3/2017,Morrison,Margarita pizzas,Groceries,"12"" diameter",1, 2.45 
73,2/5/2017,Independent,Bramley apples,Fruit and veg,Kilogram,1, 1.23 
74,2/5/2017,Independent,Carrots,Fruit and veg,Kilogram,3, 0.63 
75,2/5/2017,Independent,Semi-skimmed milk,Dairy,4 pint bottle,3, 1.53 
76,2/5/2017,Independent,Own brand yoghurts,Dairy,Each,1, 0.56 
77,2/5/2017,Independent,Muesli,Groceries,Kilogram bag,1, 3.14 
78,2/5/2017,Independent,Beef mince,Meat,Kilogram,3, 5.66 
79,2/5/2017,Independent,Potatoes,Fruit and veg,Kilogram,1, 0.86 
80,2/5/2017,Independent,Onions,Fruit and veg,Kilogram,3, 0.75 
81,2/5/2017,Independent,Vimto squash,Groceries,Standard bottle,1, 1.59 
82,2/5/2017,Independent,Baked beans,Groceries,4 tin pack,1, 1.77 
83,2/5/2017,Independent,Tomato ketchup,Groceries,Standard bottle,3, 1.04 
84,2/5/2017,Independent,Margarita pizzas,Groceries,"12"" diameter",1, 3.17 
85,2/10/2017,Aldi,Broccoli,Fruit and veg,Kilogram,1, 0.53 
86,2/10/2017,Aldi,Carrots,Fruit and veg,Kilogram,3, 0.46 
87,2/10/2017,Aldi,Chicken portions,Meat,Kilogram,1, 1.36 
88,2/10/2017,Aldi,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.10 
89,2/10/2017,Aldi,Own brand yoghurts,Dairy,Each,2, 0.40 
90,2/10/2017,Aldi,Special K red berries,Groceries,500gm box,1, 2.72 
91,2/10/2017,Aldi,Potatoes,Fruit and veg,Kilogram,1, 0.63 
92,2/10/2017,Aldi,Onions,Fruit and veg,Kilogram,1, 0.55 
93,2/10/2017,Aldi,Vimto squash,Groceries,Standard bottle,1, 1.14 
94,2/10/2017,Aldi,Baked beans,Groceries,4 tin pack,1, 1.27 
95,2/10/2017,Aldi,Tomato ketchup,Groceries,Standard bottle,1, 0.75 
96,2/10/2017,Aldi,Eggs,Groceries,Box of 12 large,3, 1.63 
97,2/12/2017,Marks and Spencer,Bramley apples,Fruit and veg,Kilogram,1, 1.15 
98,2/12/2017,Marks and Spencer,Bananas,Fruit and veg,Kilogram,1, 0.82 
99,2/12/2017,Marks and Spencer,Chicken portions,Meat,Kilogram,2, 1.73 
100,2/12/2017,Marks and Spencer,Activia yoghurts,Dairy,4 pack,1, 1.46 
101,2/12/2017,Marks and Spencer,Cheddar,Dairy,Kilogram,1, 2.57 
102,2/12/2017,Marks and Spencer,Special K red berries,Groceries,500gm box,1, 3.47 
103,2/12/2017,Marks and Spencer,Multigrain bread,Groceries,500 gm loaf,1, 1.10 
104,2/12/2017,Marks and Spencer,Butter,Dairy,250 gm pack,1, 1.63 
105,2/12/2017,Marks and Spencer,Vimto squash,Groceries,Standard bottle,3, 1.49 
106,2/12/2017,Marks and Spencer,Eggs,Groceries,Box of 12 large,1, 2.12 
107,2/15/2017,Tesco,Bramley apples,Fruit and veg,Kilogram,3, 0.98 
108,2/15/2017,Tesco,Bananas,Fruit and veg,Kilogram,3, 0.70 
109,2/15/2017,Tesco,Special K red berries,Groceries,500gm box,1, 3.02 
110,2/15/2017,Tesco,Multigrain bread,Groceries,500 gm loaf,2, 0.94 
111,2/15/2017,Tesco,White sliced bread,Groceries,500 gm loaf,1, 0.77 
112,2/15/2017,Tesco,Potatoes,Fruit and veg,Kilogram,1, 0.71 
113,2/15/2017,Tesco,Teabags,Groceries,Box of 80,1, 1.20 
114,2/15/2017,Tesco,Vimto squash,Groceries,Standard bottle,1, 1.28 
115,2/15/2017,Tesco,Baked beans,Groceries,4 tin pack,1, 1.40 
116,2/15/2017,Tesco,Eggs,Groceries,Box of 12 large,1, 1.83 
117,2/15/2017,Tesco,Margarita pizzas,Groceries,"12"" diameter",2, 2.45 
118,2/18/2017,Independent,Bramley apples,Fruit and veg,Kilogram,1, 1.26 
119,2/18/2017,Independent,Bananas,Fruit and veg,Kilogram,1, 0.89 
120,2/18/2017,Independent,Broccoli,Fruit and veg,Kilogram,1, 0.76 
121,2/18/2017,Independent,Carrots,Fruit and veg,Kilogram,1, 0.62 
122,2/18/2017,Independent,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.53 
123,2/18/2017,Independent,Activia yoghurts,Dairy,4 pack,1, 1.62 
124,2/18/2017,Independent,Cheddar,Dairy,Kilogram,2, 2.75 
125,2/18/2017,Independent,Beef mince,Meat,Kilogram,1, 5.66 
126,2/18/2017,Independent,Multigrain bread,Groceries,500 gm loaf,1, 1.20 
127,2/18/2017,Independent,Potatoes,Fruit and veg,Kilogram,1, 0.88 
128,2/18/2017,Independent,Onions,Fruit and veg,Kilogram,1, 0.73 
129,2/18/2017,Independent,Teabags,Groceries,Box of 80,1, 1.53 
130,2/18/2017,Independent,Coffee beans,Groceries,Standard box,1, 2.82 
131,2/18/2017,Independent,Vimto squash,Groceries,Standard bottle,1, 1.62 
132,2/18/2017,Independent,Margarita pizzas,Groceries,"12"" diameter",1, 3.12 
133,2/22/2017,Morrison,Gala apples,Fruit and veg,Kilogram,1, 0.76 
134,2/22/2017,Morrison,Bananas,Fruit and veg,Kilogram,1, 0.70 
135,2/22/2017,Morrison,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.15 
136,2/22/2017,Morrison,Own brand yoghurts,Dairy,Each,2, 0.43 
137,2/22/2017,Morrison,Cheddar,Dairy,Kilogram,3, 2.15 
138,2/22/2017,Morrison,Special K red berries,Groceries,500gm box,3, 2.97 
139,2/22/2017,Morrison,White sliced bread,Groceries,500 gm loaf,3, 0.72 
140,2/22/2017,Morrison,Onions,Fruit and veg,Kilogram,2, 0.60 
141,2/22/2017,Morrison,Butter,Dairy,250 gm pack,3, 1.41 
142,2/22/2017,Morrison,Teabags,Groceries,Box of 80,1, 1.16 
143,2/22/2017,Morrison,Margarita pizzas,Groceries,"12"" diameter",1, 2.42 
144,2/26/2017,Sainsbury,Chicken portions,Meat,Kilogram,1, 1.55 
145,2/26/2017,Sainsbury,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.25 
146,2/26/2017,Sainsbury,Muesli,Groceries,Kilogram bag,1, 2.62 
147,2/26/2017,Sainsbury,Special K red berries,Groceries,500gm box,1, 3.23 
148,2/26/2017,Sainsbury,Beef mince,Meat,Kilogram,1, 4.63 
149,2/26/2017,Sainsbury,Multigrain bread,Groceries,500 gm loaf,2, 1.01 
150,2/26/2017,Sainsbury,Potatoes,Fruit and veg,Kilogram,1, 0.72 
151,2/26/2017,Sainsbury,Butter,Dairy,250 gm pack,1, 1.46 
152,2/26/2017,Sainsbury,Teabags,Groceries,Box of 80,1, 1.29 
153,2/26/2017,Sainsbury,Vimto squash,Groceries,Standard bottle,1, 1.39 
154,2/26/2017,Sainsbury,Tomato ketchup,Groceries,Standard bottle,1, 0.91 
155,3/3/2017,Tesco,Bramley apples,Fruit and veg,Kilogram,1, 1.00 
156,3/3/2017,Tesco,Broccoli,Fruit and veg,Kilogram,2, 0.59 
157,3/3/2017,Tesco,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.17 
158,3/3/2017,Tesco,Activia yoghurts,Dairy,4 pack,1, 1.30 
159,3/3/2017,Tesco,Own brand yoghurts,Dairy,Each,1, 0.45 
160,3/3/2017,Tesco,Cheddar,Dairy,Kilogram,2, 2.26 
161,3/3/2017,Tesco,Muesli,Groceries,Kilogram bag,3, 2.50 
162,3/3/2017,Tesco,Special K red berries,Groceries,500gm box,1, 3.05 
163,3/3/2017,Tesco,White sliced bread,Groceries,500 gm loaf,1, 0.75 
164,3/3/2017,Tesco,Potatoes,Fruit and veg,Kilogram,2, 0.69 
165,3/3/2017,Tesco,Butter,Dairy,250 gm pack,2, 1.38 
166,3/3/2017,Tesco,Teabags,Groceries,Box of 80,3, 1.23 
167,3/3/2017,Tesco,Vimto squash,Groceries,Standard bottle,2, 1.32 
168,3/3/2017,Tesco,Margarita pizzas,Groceries,"12"" diameter",1, 2.57 
169,3/5/2017,Independent,Gala apples,Fruit and veg,Kilogram,1, 1.00 
170,3/5/2017,Independent,Broccoli,Fruit and veg,Kilogram,2, 0.75 
171,3/5/2017,Independent,Semi-skimmed milk,Dairy,4 pint bottle,3, 1.50 
172,3/5/2017,Independent,Activia yoghurts,Dairy,4 pack,2, 1.61 
173,3/5/2017,Independent,Cheddar,Dairy,Kilogram,1, 2.77 
174,3/5/2017,Independent,Muesli,Groceries,Kilogram bag,1, 3.17 
175,3/5/2017,Independent,Special K red berries,Groceries,500gm box,1, 3.75 
176,3/5/2017,Independent,Beef mince,Meat,Kilogram,3, 5.62 
177,3/5/2017,Independent,Potatoes,Fruit and veg,Kilogram,1, 0.88 
178,3/5/2017,Independent,Onions,Fruit and veg,Kilogram,1, 0.76 
179,3/5/2017,Independent,Teabags,Groceries,Box of 80,1, 1.50 
180,3/5/2017,Independent,Coffee beans,Groceries,Standard box,2, 2.85 
181,3/5/2017,Independent,Vimto squash,Groceries,Standard bottle,3, 1.62 
182,3/5/2017,Independent,Baked beans,Groceries,4 tin pack,1, 1.73 
183,3/5/2017,Independent,Eggs,Groceries,Box of 12 large,1, 2.30 
184,3/5/2017,Independent,Margarita pizzas,Groceries,"12"" diameter",1, 3.12 
185,3/10/2017,Aldi,Special K red berries,Groceries,500gm box,1, 2.66 
186,3/10/2017,Aldi,Multigrain bread,Groceries,500 gm loaf,2, 0.84 
187,3/10/2017,Aldi,Potatoes,Fruit and veg,Kilogram,3, 0.65 
188,3/10/2017,Aldi,Onions,Fruit and veg,Kilogram,1, 0.54 
189,3/10/2017,Aldi,Butter,Dairy,250 gm pack,1, 1.28 
190,3/10/2017,Aldi,Teabags,Groceries,Box of 80,3, 1.09 
191,3/10/2017,Aldi,Coffee beans,Groceries,Standard box,1, 2.06 
192,3/10/2017,Aldi,Vimto squash,Groceries,Standard bottle,1, 1.20 
193,3/10/2017,Aldi,Tomato ketchup,Groceries,Standard bottle,1, 0.78 
194,3/10/2017,Aldi,Eggs,Groceries,Box of 12 large,1, 1.63 
195,3/10/2017,Aldi,Margarita pizzas,Groceries,"12"" diameter",1, 2.19 
196,3/14/2017,Independent,Gala apples,Fruit and veg,Kilogram,1, 1.02 
197,3/14/2017,Independent,Broccoli,Fruit and veg,Kilogram,3, 0.76 
198,3/14/2017,Independent,Carrots,Fruit and veg,Kilogram,2, 0.62 
199,3/14/2017,Independent,Chicken portions,Meat,Kilogram,2, 1.87 
200,3/14/2017,Independent,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.50 
201,3/14/2017,Independent,Activia yoghurts,Dairy,4 pack,1, 1.61 
202,3/14/2017,Independent,Cheddar,Dairy,Kilogram,2, 2.79 
203,3/14/2017,Independent,Multigrain bread,Groceries,500 gm loaf,3, 1.21 
204,3/14/2017,Independent,Potatoes,Fruit and veg,Kilogram,2, 0.88 
205,3/14/2017,Independent,Onions,Fruit and veg,Kilogram,2, 0.75 
206,3/14/2017,Independent,Teabags,Groceries,Box of 80,1, 1.52 
207,3/14/2017,Independent,Tomato ketchup,Groceries,Standard bottle,1, 1.06 
208,3/14/2017,Independent,Margarita pizzas,Groceries,"12"" diameter",3, 3.10 
209,3/19/2017,Independent,Bananas,Fruit and veg,Kilogram,1, 0.88 
210,3/19/2017,Independent,Broccoli,Fruit and veg,Kilogram,3, 0.74 
211,3/19/2017,Independent,Chicken portions,Meat,Kilogram,1, 1.87 
212,3/19/2017,Independent,Cheddar,Dairy,Kilogram,1, 2.75 
213,3/19/2017,Independent,Special K red berries,Groceries,500gm box,3, 3.77 
214,3/19/2017,Independent,Beef mince,Meat,Kilogram,1, 5.71 
215,3/19/2017,Independent,Multigrain bread,Groceries,500 gm loaf,1, 1.20 
216,3/19/2017,Independent,White sliced bread,Groceries,500 gm loaf,3, 0.93 
217,3/19/2017,Independent,Potatoes,Fruit and veg,Kilogram,1, 0.86 
218,3/19/2017,Independent,Onions,Fruit and veg,Kilogram,1, 0.75 
219,3/19/2017,Independent,Butter,Dairy,250 gm pack,1, 1.77 
220,3/19/2017,Independent,Coffee beans,Groceries,Standard box,1, 2.89 
221,3/19/2017,Independent,Vimto squash,Groceries,Standard bottle,1, 1.59 
222,3/19/2017,Independent,Baked beans,Groceries,4 tin pack,3, 1.72 
223,3/19/2017,Independent,Eggs,Groceries,Box of 12 large,1, 2.21 
224,3/19/2017,Independent,Margarita pizzas,Groceries,"12"" diameter",3, 3.19 
225,4/5/2017,Independent,Gala apples,Fruit and veg,Kilogram,1, 0.98 
226,4/5/2017,Independent,Bananas,Fruit and veg,Kilogram,3, 0.86 
227,4/5/2017,Independent,Broccoli,Fruit and veg,Kilogram,1, 0.75 
228,4/5/2017,Independent,Chicken portions,Meat,Kilogram,3, 1.90 
229,4/5/2017,Independent,Activia yoghurts,Dairy,4 pack,2, 1.66 
230,4/5/2017,Independent,Muesli,Groceries,Kilogram bag,1, 3.14 
231,4/5/2017,Independent,Beef mince,Meat,Kilogram,2, 5.71 
232,4/5/2017,Independent,Multigrain bread,Groceries,500 gm loaf,3, 1.16 
233,4/5/2017,Independent,Potatoes,Fruit and veg,Kilogram,1, 0.89 
234,4/5/2017,Independent,Onions,Fruit and veg,Kilogram,1, 0.74 
235,4/5/2017,Independent,Butter,Dairy,250 gm pack,2, 1.77 
236,4/5/2017,Independent,Vimto squash,Groceries,Standard bottle,3, 1.61 
237,4/5/2017,Independent,Baked beans,Groceries,4 tin pack,1, 1.76 
238,4/5/2017,Independent,Tomato ketchup,Groceries,Standard bottle,1, 1.05 
239,4/13/2017,Waitrose,Bramley apples,Fruit and veg,Kilogram,1, 1.21 
240,4/13/2017,Waitrose,Bananas,Fruit and veg,Kilogram,3, 0.83 
241,4/13/2017,Waitrose,Carrots,Fruit and veg,Kilogram,1, 0.61 
242,4/13/2017,Waitrose,Chicken portions,Meat,Kilogram,1, 1.84 
243,4/13/2017,Waitrose,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.45 
244,4/13/2017,Waitrose,Own brand yoghurts,Dairy,Each,1, 0.54 
245,4/13/2017,Waitrose,Beef mince,Meat,Kilogram,1, 5.44 
246,4/13/2017,Waitrose,Potatoes,Fruit and veg,Kilogram,1, 0.82 
247,4/13/2017,Waitrose,Onions,Fruit and veg,Kilogram,1, 0.70 
248,4/13/2017,Waitrose,Butter,Dairy,250 gm pack,1, 1.69 
249,4/13/2017,Waitrose,Coffee beans,Groceries,Standard box,3, 2.71 
250,4/13/2017,Waitrose,Margarita pizzas,Groceries,"12"" diameter",1, 2.95 
251,4/17/2017,Independent,Gala apples,Fruit and veg,Kilogram,1, 1.00 
252,4/17/2017,Independent,Bananas,Fruit and veg,Kilogram,3, 0.88 
253,4/17/2017,Independent,Broccoli,Fruit and veg,Kilogram,3, 0.75 
254,4/17/2017,Independent,Semi-skimmed milk,Dairy,4 pint bottle,1, 1.48 
255,4/17/2017,Independent,Activia yoghurts,Dairy,4 pack,1, 1.61 
256,4/17/2017,Independent,Cheddar,Dairy,Kilogram,1, 2.77 
257,4/17/2017,Independent,White sliced bread,Groceries,500 gm loaf,1, 0.92 
258,4/17/2017,Independent,Butter,Dairy,250 gm pack,1, 1.77 
259,4/17/2017,Independent,Baked beans,Groceries,4 tin pack,1, 1.75 
260,4/17/2017,Independent,Tomato ketchup,Groceries,Standard bottle,1, 1.04 
261,5/7/2017,Waitrose,Gala apples,Fruit and veg,Kilogram,1, 0.95 
262,5/7/2017,Waitrose,Bramley apples,Fruit and veg,Kilogram,3, 1.19 
263,5/7/2017,Waitrose,Bananas,Fruit and veg,Kilogram,1, 0.84 
264,5/7/2017,Waitrose,Carrots,Fruit and veg,Kilogram,3, 0.61 
265,5/7/2017,Waitrose,Chicken portions,Meat,Kilogram,2, 1.84 
266,5/7/2017,Waitrose,Activia yoghurts,Dairy,4 pack,3, 1.56 
267,5/7/2017,Waitrose,Cheddar,Dairy,Kilogram,3, 2.61 
268,5/7/2017,Waitrose,Muesli,Groceries,Kilogram bag,1, 3.02 
