Name,Meaning of Name,Pronunciation,Period,Diet,Length (m),Height  (m),Mass kg,No. of feet it walked on?,Hip Type,Group
Albertosaurus,Alberta lizard,al-BERT-oh-saw-russ,Cretaceous,carnivore,9,3.5,1500,2,lizard,theropod
Allosaurus,different reptile,AL-oh-saw-russ,Jurassic,carnivore,12,5,2000,2,lizard,theropod
Baryonyx,heavy claw,bah-ree-ON-icks,Cretaceous,carnivore,10,4,2000,2,lizard,theropod
Coelophysis,hollow form,see-LOH-fiss-iss,Triassic,carnivore,3,2,27,2,lizard,theropod
Compsognathus,pretty jaw,comp-so-g-NATH-us,Jurassic,carnivore,1,0.7,3.6,2,lizard,theropod
Deinonychus,terrible claw,die-NON-i-kuss,Cretaceous,carnivore,3,1.5,75,2,lizard,theropod
Dromaeosaurus,running lizard,DROM-ee-oh-saw-russ,Cretaceous,carnivore,1.8,0.8,15,2,lizard,theropod
Gallimimus,fowl mimic,gal-i-ME-muss,Cretaceous,omnivore,5.6,3,200,2,lizard,theropod
Hypsilophodon,high-ridge tooth,hip-sill-OH-fo-don,Cretaceous,herbivore,2,0.8,50,2,bird,ornithopod
Orodromeus,mountain runner,or-odd-rom-AY-us,Cretaceous,herbivore,2.5,1,50,2,bird,ornithopod
Oviraptor,egg thief,o-vee-RAP-tor,Cretaceous,omnivore,1.8,0.8,20,2,lizard,theropod
Pachycephalosaurus,thick-headed lizard,pack-i-KEF-al-oh-saw-russ,Cretaceous,herbivore,8,6,3000,2,bird,ornithopod
Troodon,wounding tooth,TRO-o-don,Cretaceous,carnivore,2,1.3,40,2,lizard,theropod
Tyrannosaurus,tyrant lizard,tie-RAN-oh-saw-russ,Cretaceous,carnivore,12,5.6,7000,2,lizard,theropod
Edmontosaurus,Edmonton lizard,ed-MON-toe-saw-russ,Cretaceous,herbivore,13,3.5,3400,2 or 4,bird,ornithopod
Iguanodon,iguana tooth,ig-WAN-oh-don,Cretaceous,herbivore,10,5,4500,2 or 4,bird,ornithopod
Doyouthinkhesaurus,weak pun,Do-u-think-he-saw-russ,Trump,herbivore,7,2.1,1800,2,lizard,theropod
Maiasaura,good mother lizard,my-ah-SAW-rah,Cretaceous,herbivore,9,2.3,2500,2 or 4,bird,ornithopod
Massospondylus,massive vertebrae,mass-oh-SPON-di-luss,Triassic,herbivore,4,1,70,2 or 4,lizard,prosauropod
Parasaurolophus,like 'Saurolophus' - the ridged lizard,pa-ra-saw-ROL-off-us,Cretaceous,herbivore,10,5.2,3500,2 or 4,bird,ornithopod
Psittacosaurus,parrot lizard,SIT-a-co-saw-russ,Cretaceous,herbivore,2.5,1,50,2 or 4,bird,ornithopod
Camarasaurus,chambered lizard,KAM-ar-a-saw-russ,Jurassic,herbivore,18,9,20000,4,lizard,sauropod
Centrosaurus,horned lizard,CEN-tro-saw-russ,Cretaceous,herbivore,6,2,1000,4,bird,ceratopian
Chasmosaurus,ravine reptile,KAZ-mo-saw-russ,Cretaceous,herbivore,5.2,3.6,2500,4,bird,ceratopian
Diplodocus,double beam,dip-lod-OH-kuss,Jurassic,herbivore,26,8,10000,4,lizard,sauropod
Euoplocephalus,well-armoured head,you-OH-plo-kef-ah-luss,Cretaceous,herbivore,6,1.8,2000,4,bird,ankylosaur
Wiseowlasaurus,ancient it training co.,wy-zaul-a-saw-russ,Trump,omnivore,8,2,1200,4,lizard,sauropod
Tenontosaurus,sinew lizard,ten-ON-toe-saw-russ,Cretaceous,herbivore,7.3,2.5,900,4,bird,ornithopod
Triceratops,three-horned face,tri-SER-a-tops,Cretaceous,herbivore,9,3,5500,4,bird,ceratopian
Tuojiangosaurus,Tuijiang lizard,too-WANG-oh-saw-russ,Jurassic,herbivore,7,2,1500,on 4 legs,bird,stegosaur
