FilmID,Title,Director,Genre
1,Sausage Party,Conrad Vernon,Animation
2,Thor,Kenneth Branagh,Action
3,The Gunman,Pierre Morel,Thriller
4,Furious 7,James Wan,Action
5,The Nice Guys,Shane Black,Comedy
6,Elysium,Neill Blomkamp,Science Fiction
7,Kung Fu Panda 2,Jennifer Yuh Nelson,Animation
8,Inherent Vice,Paul Thomas Anderson,Crime
9,Cloudy with a Chance of Meatballs 2,Cody Cameron,Animation
10,Kung Fu Panda 3,Jennifer Yuh Nelson,Animation
11,12 Years a Slave,Steve McQueen,Biography
12,Ted,Seth MacFarlane,Comedy
13,Rogue One: A Star Wars Story,Gareth Edwards,Science Fiction
14,Maggie,Henry Hobson,Horror
15,John Wick,Chad Stahelski,Action
16,Fantastic Beasts and Where to Find Them,David Yates,Fantasy
17,The Amazing Spider-Man,Marc Webb,Action
18,Jason Bourne,Paul Greengrass,Thriller
19,Les Misérables,Tom Hooper,Musical
20,Man of Steel,Zack Snyder,Action
21,Cars 2,John Lasseter,Animation
22,Sucker Punch,Zack Snyder,Action
23,Shame,Steve McQueen,Drama
24,The BFG,Steven Spielberg,Family
25,Jupiter Ascending,Lana (Larry) Wachowski,Science Fiction
26,The Last Stand,Kim Jee-woon,Action
27,Zoolander 2,Ben Stiller,Comedy
28,The Adjustment Bureau,George Nolfi,Science Fiction
29,Beyond Outrage,Takeshi Kitano,Crime
30,Dawn of the Planet of the Apes,Matt Reeves,Action
31,Underworld: Blood Wars,Anna Foerster,Action
32,Escape Plan,Mikael Hafstrom,Action
33,Minions,Pierre Coffin,Animation
34,The Secret Life of Pets,Chris Renaud,Animation
35,Lone Survivor,Peter Berg,War
36,Point Break,Ericson Core,Action
37,The Wolverine,James Mangold,Action
38,The Lego Movie,Phil Lord,Animation
39,A Field in England,Ben Wheatley,Thriller
40,The Raid 2,Gareth Evans,Martial Arts
41,The Revenant,Alejandro G. Inarritu,Adventure
42,A Million Ways to Die in the West,Seth MacFarlane,Comedy
43,Anna Karenina,Joe Wright,Romance
44,The Mermaid,Stephen Chow,Fantasy
45,Ted 2,Seth MacFarlane,Comedy
46,Gravity,Alfonso Cuaron,Science Fiction
47,Spectre,Sam Mendes,Thriller
48,Now You See Me,Louis Leterrier,Mystery
49,Prisoners,Denis Villeneuve,Thriller
50,Introduction to Reporting Services video,Andrew Gould,Software
51,Jack Reacher,Christopher McQuarrie,Thriller
52,The Amazing Spider-Man 2,Marc Webb,Action
53,Captain America: The Winter Soldier,Anthony Russo,Action
54,Dark Shadows,Tim Burton,Comedy
55,Batman v Superman: Dawn of Justice,Zack Snyder,Action
56,Hara-Kiri: Death of a Samurai,Takashi Miike,Drama
57,The Hunger Games: Mockingjay Part 1,Francis Lawrence,Adventure
58,Warrior King 2,Prachya Pinkaew,Martial Arts
59,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,Awful
60,47 Ronin,Carl Rinsch,Action
61,Young Detective Dee: Rise of the Sea Dragon,Hark Tsui,Adventure
62,The Second Best Exotic Marigold Hotel,John Madden,Comedy
63,Mission: Impossible - Rogue Nation,Christopher McQuarrie,Action
64,Bridge of Spies,Steven Spielberg,Thriller
65,Pete's Dragon,David Lowery,Fantasy
66,The Hateful Eight,Quentin Tarantino,Western
67,Skyfall,Sam Mendes,Thriller
68,Free Fire,Ben Wheatley,Comedy
69,Jurassic World,Colin Trevorrow,Adventure
70,Southpaw,Antoine Fuqua,Drama
71,Kill List,Ben Wheatley,Thriller
72,Exodus: Gods and Kings,Ridley Scott,Adventure
73,Rush,Ron Howard,Sport
74,Independence Day: Resurgence,Roland Emmerich,Science Fiction
75,Ironclad,Jonathan English,History
76,Deepwater Horizon,Peter Berg,Disaster
77,Edge of Tomorrow,Doug Liman,Science Fiction
78,Harry Potter and the Deathly Hallows - Part 2,David Yates,Fantasy
79,The Eagle,Kevin Macdonald,Adventure
80,Fast & Furious 6,Justin Lin,Action
81,Battleship,Peter Berg,Action
82,Total Recall,Len Wiseman,Science Fiction
83,The Girl with the Dragon Tattoo,David Fincher,Thriller
84,Passengers,Morten Tyldum,Science Fiction
85,The Danish Girl,Tom Hooper,Biography
86,3 Days to Kill,McG,Thriller
87,Man of Steel,Zack Snyder,Action
88,Zero Dark Thirty,Kathryn Bigelow,Thriller
89,The Hangover Part II,Todd Phillips,Comedy
90,Star Trek Into Darkness,J. J. Abrams,Science Fiction
91,Sicario,Denis Villeneuve,Thriller
92,The Martian,Ridley Scott,Science Fiction
93,Finding Dory,Andrew Stanton,Animation
94,Lincoln,Steven Spielberg,Biography
95,The Master,Paul Thomas Anderson,Drama
96,Happy Feet Two,George Miller,Animation
97,Looper,Rian Johnson,Science Fiction
98,Life of Pi,Ang Lee,Adventure
99,The Avengers,Joss Whedon,Action
100,Transformers: Dark of the Moon,Michael Bay,Science Fiction
101,Cowboys & Aliens,Jon Favreau,Science Fiction
102,Thor: The Dark World,Alan Taylor,Action
103,"Crouching Tiger, Hidden Dragon: Sword of Destiny",Woo-ping Yuen,Martial Arts
104,Iron Man 3,Shane Black,Action
105,The Imitation Game,Morten Tyldum,Biography
106,Sully,Clint Eastwood,Biography
107,The Man from U.N.C.L.E.,Guy Ritchie,Action
108,RoboCop,Jose Padilha,Science Fiction
109,Trance,Danny Boyle,Crime
110,Captain America: Civil War,Anthony Russo,Action
111,High-Rise,Ben Wheatley,Science Fiction
112,Transformers: Age of Extinction,Michael Bay,Science Fiction
113,Suicide Squad,David Ayer,Action
114,Dead Man Down,Niels Arden Oplev,Crime
115,Star Trek Beyond,Justin Lin,Science Fiction
116,Madagascar 3: Europe's Most Wanted,Eric Darnell,Animation
