Team,Played,Won,Drawn,Lost,Points,
AFC Bournemouth,38,11,9,18,42,
Arsenal,38,20,11,7,71,
Aston Villa,38,3,8,27,17,
Chelsea,38,12,14,12,50,
Crystal Palace,38,11,9,18,42,
Everton,38,11,14,13,47,
Leicester City ,38,23,12,3,81,
Liverpool,38,16,12,10,60,
Manchester City,38,19,9,10,66,
Manchester United,38,19,9,10,66,
Newcastle United,38,9,10,19,37,
Norwich City,38,9,7,22,34,
Southampton,38,18,9,11,63,
Stoke City,38,14,9,15,51,
Sunderland,38,9,12,17,39,
Swansea City,38,12,11,15,47,
Tottenham Hotspur,38,19,13,6,70,
Watford,38,12,9,17,45,
West Bromwich Albion,38,10,13,15,43,
West Ham United,38,16,14,8,62,
