CentreId,CentreName,PostCode,SquareMetres,NumberUnits,Details
1,Pavilion Shopping Centre,EN8 7BZ,15143,62,"1 Pavilion Shopping Centre EN8 7BZ 15,143 62"
2,Times Square Shopping Centre,SM1 1LF,15143,71,"2 Times Square Shopping Centre SM1 1LF 15,143 71"
3,North Quay Retail Park,NR32 2ED,15143,9,"3 North Quay Retail Park NR32 2ED 15,143 9"
4,Norman Park,CB3 8EL,15228,11,"4 Norman Park CB3 8EL 15,228 11"
5,Crownhill Retail Park,PL6 5BL,15329,4,"5 Crownhill Retail Park PL6 5BL 15,329 4"
6,Whiteley Village Outlet Mall,PO15 7LJ,15329,50,"6 Whiteley Village Outlet Mall PO15 7LJ 15,329 50"
7,Cannon Park Shopping Centre,CV4 7EH,15329,36,"7 Cannon Park Shopping Centre CV4 7EH 15,329 36"
8,Snipe Retail Park,OL7 0DN,15329,12,"8 Snipe Retail Park OL7 0DN 15,329 12"
9,Abbey Wood Retail Park,BS34 7JL,15375,7,"9 Abbey Wood Retail Park BS34 7JL 15,375 7"
10,Mayflower Retail Park,SS6 7TR,15410,12,"10 Mayflower Retail Park SS6 7TR 15,410 12"
11,Ocean Park,PO3 5NP,15422,7,"11 Ocean Park PO3 5NP 15,422 7"
12,Kingsmead Shopping Centre,GU14 7SJ,15515,69,"12 Kingsmead Shopping Centre GU14 7SJ 15,515 69"
13,Market Quay,PO16,15515,0,"13 Market Quay PO16 15,515 0"
14,Banbury Cross Retail Park,OX16 7NN,15608,11,"14 Banbury Cross Retail Park OX16 7NN 15,608 11"
15,Sundorne Retail Park,SY1 4YA,15626,8,"15 Sundorne Retail Park SY1 4YA 15,626 8"
16,Wellington Retail Park,PO7 7UL,15793,10,"16 Wellington Retail Park PO7 7UL 15,793 10"
17,Morton Park,DL1 4PJ,15793,11,"17 Morton Park DL1 4PJ 15,793 11"
18,Castle Vale Retail Park,B35 6DU,15793,5,"18 Castle Vale Retail Park B35 6DU 15,793 5"
19,Old George Mall,SP1 2NH,15794,37,"19 Old George Mall SP1 2NH 15,794 37"
20,The Nicholson's Centre,SL6 1LB,15794,64,"20 The Nicholson's Centre SL6 1LB 15,794 64"
21,Anglia Retail Park,IP1 5QP,15794,8,"21 Anglia Retail Park IP1 5QP 15,794 8"
22,Crown Wharf Shopping Park,WS2 8LR,15886,15,"22 Crown Wharf Shopping Park WS2 8LR 15,886 15"
23,Great Eastern Way Retail Park,S62 6EJ,15886,8,"23 Great Eastern Way Retail Park S62 6EJ 15,886 8"
24,Metro Park West,NE11 9XS,15886,6,"24 Metro Park West NE11 9XS 15,886 6"
25,The Longford Shopping Centre,TW13 4BH,15979,85,"25 The Longford Shopping Centre TW13 4BH 15,979 85"
26,Southgate Shopping Centre,BA1 1TQ,16072,34,"26 Southgate Shopping Centre BA1 1TQ 16,072 34"
27,Riverside Retail Park,NN3 9HU,16104,15,"27 Riverside Retail Park NN3 9HU 16,104 15"
28,Peel Centre,GL1 5SF,16165,9,"28 Peel Centre GL1 5SF 16,165 9"
29,Wharton Retail Park,CW7 3DB,16258,8,"29 Wharton Retail Park CW7 3DB 16,258 8"
30,Meridian Shopping Centre,PO9 1UN,16258,33,"30 Meridian Shopping Centre PO9 1UN 16,258 33"
31,Metropolitan Centre,S70 1SX,16258,53,"31 Metropolitan Centre S70 1SX 16,258 53"
32,South Wirral Retail Park,CH62 3PN,16295,11,"32 South Wirral Retail Park CH62 3PN 16,295 11"
33,Kingston Centre,MK10 0BA,16307,22,"33 Kingston Centre MK10 0BA 16,307 22"
34,Pompey Centre,PO4,16350,7,"34 Pompey Centre PO4 16,350 7"
35,Crompton Place Shopping Centre,BL1 1RS,16351,47,"35 Crompton Place Shopping Centre BL1 1RS 16,351 47"
36,Kingswood Retail Park,HU7 3DA,16399,10,"36 Kingswood Retail Park HU7 3DA 16,399 10"
37,Martineau Place,B2 4UQ,16400,27,"37 Martineau Place B2 4UQ 16,400 27"
38,Market Centre,CW1 2NG,16480,26,"38 Market Centre CW1 2NG 16,480 26"
39,Wellington Shopping Centre,GU11 1DB,16493,44,"39 Wellington Shopping Centre GU11 1DB 16,493 44"
40,Gallagher Retail Park,CV6 5QQ,16504,16,"40 Gallagher Retail Park CV6 5QQ 16,504 16"
41,Friern Bridge Retail Park,N11 3PW,16583,11,"41 Friern Bridge Retail Park N11 3PW 16,583 11"
42,St Andrews Retail Park,B10 0HH,16583,4,"42 St Andrews Retail Park B10 0HH 16,583 4"
43,Cornmill Shopping Centre,DL1 1NH,16596,64,"43 Cornmill Shopping Centre DL1 1NH 16,596 64"
44,Cables Retail Park,L34 1ND,16614,12,"44 Cables Retail Park L34 1ND 16,614 12"
45,The Mall,S70 1SB,16630,34,"45 The Mall S70 1SB 16,630 34"
46,Solihull Retail Park,B90 4LD,16722,11,"46 Solihull Retail Park B90 4LD 16,722 11"
47,Designer Outlet @ the Lowry,M5 2WZ,16722,120,"47 Designer Outlet @ the Lowry M5 2WZ 16,722 120"
48,Central Retail Park,M4 6DJ,16722,5,"48 Central Retail Park M4 6DJ 16,722 5"
49,Barkers Arcade,W8 5HW,16722,10,"49 Barkers Arcade W8 5HW 16,722 10"
50,Peel Centre,RG12 1EN,16722,6,"50 Peel Centre RG12 1EN 16,722 6"
51,Ashford Retail Park,TN24 0SG,16722,8,"51 Ashford Retail Park TN24 0SG 16,722 8"
52,Town Square Shopping Centre,OL1 1XD,16723,32,"52 Town Square Shopping Centre OL1 1XD 16,723 32"
53,Ashford Designer Outlet,TN24 0SD,16723,81,"53 Ashford Designer Outlet TN24 0SD 16,723 81"
54,Observatory Shopping Centre,SL1 1LN,16908,48,"54 Observatory Shopping Centre SL1 1LN 16,908 48"
55,Beacon Shopping Centre,NE29 6QF,16908,43,"55 Beacon Shopping Centre NE29 6QF 16,908 43"
56,Kirkby Shopping Centre,L32 8RD,16928,70,"56 Kirkby Shopping Centre L32 8RD 16,928 70"
57,Clarks Village,BA16 0BB,17001,71,"57 Clarks Village BA16 0BB 17,001 71"
58,The Hart Shopping Centre,GU51 3LA,17094,50,"58 The Hart Shopping Centre GU51 3LA 17,094 50"
59,Saddlers Centre,WS1 1YS,17280,43,"59 Saddlers Centre WS1 1YS 17,280 43"
60,Castle Meadow Retail Park,NG7 1GX,17280,14,"60 Castle Meadow Retail Park NG7 1GX 17,280 14"
61,Meteor Centre,DE21 4SY,17280,13,"61 Meteor Centre DE21 4SY 17,280 13"
62,The Belfry,RH1 1ST,17297,52,"62 The Belfry RH1 1ST 17,297 52"
63,Wellington Square,TS18 1QX,17380,42,"63 Wellington Square TS18 1QX 17,380 42"
64,Chelmer Village Retail Park,CM2 6XE,17466,11,"64 Chelmer Village Retail Park CM2 6XE 17,466 11"
65,Tottenham Hale Retail Park,N15 4QD,17483,11,"65 Tottenham Hale Retail Park N15 4QD 17,483 11"
66,Robin Retail Park,WN5 0UU,17651,18,"66 Robin Retail Park WN5 0UU 17,651 18"
67,West Quay Retail Park,SO14 2EU,17651,16,"67 West Quay Retail Park SO14 2EU 17,651 16"
68,Gallagher Retail Park,DN15 8GR,17651,5,"68 Gallagher Retail Park DN15 8GR 17,651 5"
69,Mount Retail Park,HU9,17651,3,"69 Mount Retail Park HU9 17,651 3"
70,Vicarage Field,IG11 8DG,17652,50,"70 Vicarage Field IG11 8DG 17,652 50"
71,The Crescent,SW19 1QD,17674,7,"71 The Crescent SW19 1QD 17,674 7"
72,Junction One Retail and Leisure Park,CV21 1RW,17744,10,"72 Junction One Retail and Leisure Park CV21 1RW 17,744 10"
73,St Peters Way Shopping Centre,NN1 1PS,17756,25,"73 St Peters Way Shopping Centre NN1 1PS 17,756 25"
74,Telford Bridge Retail Park,TF3 4PB,17837,15,"74 Telford Bridge Retail Park TF3 4PB 17,837 15"
75,The Marlands Shopping Centre,SO14 7SJ,17837,46,"75 The Marlands Shopping Centre SO14 7SJ 17,837 46"
76,St James Retail Park,NN1 1EE,17837,7,"76 St James Retail Park NN1 1EE 17,837 7"
77,Regent Arcade Shopping Centre,GL50 1JZ,17837,74,"77 Regent Arcade Shopping Centre GL50 1JZ 17,837 74"
78,Forbury Retail Park,RG1 3JD,17846,6,"78 Forbury Retail Park RG1 3JD 17,846 6"
79,The Junction East London,E6 6LA,17863,7,"79 The Junction East London E6 6LA 17,863 7"
80,Leeds Road Retail Park,HD1 6PF,17929,8,"80 Leeds Road Retail Park HD1 6PF 17,929 8"
81,Thornaby Shopping Centre,TS17 9HA,18000,65,"81 Thornaby Shopping Centre TS17 9HA 18,000 65"
82,Meols Cop Retail Park,PR9 7RG,18046,12,"82 Meols Cop Retail Park PR9 7RG 18,046 12"
83,Newlands Centre,NN16 8JA,18060,49,"83 Newlands Centre NN16 8JA 18,060 49"
84,New Bond Street,DT4 8LY,18116,12,"84 New Bond Street DT4 8LY 18,116 12"
85,The Rushes,LE11 1UQ,18116,15,"85 The Rushes LE11 1UQ 18,116 15"
86,Lakeside Extra Retail Park,RM16 1XD,18116,8,"86 Lakeside Extra Retail Park RM16 1XD 18,116 8"
87,St Georges Shopping Centre,DA11 0DF,18116,34,"87 St Georges Shopping Centre DA11 0DF 18,116 34"
88,Octagon Centre,HP11 2HW,18209,56,"88 Octagon Centre HP11 2HW 18,209 56"
89,Reading Gate Retail Park,RG2 0SA,18210,8,"89 Reading Gate Retail Park RG2 0SA 18,210 8"
90,Borehamwood Shopping Park,WD6 1PR,18324,17,"90 Borehamwood Shopping Park WD6 1PR 18,324 17"
91,Fulham Broadway,SW6 1AE,18360,18,"91 Fulham Broadway SW6 1AE 18,360 18"
92,Ryemarket Shopping Centre,DY8 1HJ,18395,37,"92 Ryemarket Shopping Centre DY8 1HJ 18,395 37"
93,White City Retail Park,M16 0RP,18395,13,"93 White City Retail Park M16 0RP 18,395 13"
94,Grays Shopping Centre,RM17 6QE,18395,53,"94 Grays Shopping Centre RM17 6QE 18,395 53"
95,Broadwalk Shopping Centre,HA8 7BD,18488,40,"95 Broadwalk Shopping Centre HA8 7BD 18,488 40"
