FilmID,Title,RunTimeMinutes,Genre
1,Jurassic Park,126,Adventure
2,Spider-Man,121,Action
3,King Kong,187,Adventure
5,Superman Returns,154,Action
6,Titanic,194,Romance
7,Evan Almighty,96,Comedy
8,Waterworld,135,Adventure
9,Pearl Harbor,183,War
10,Transformers,144,Science Fiction
11,Harry Potter and the Order of the Phoenix,138,Fantasy
12,Beowulf,115,Fantasy
13,Bee Movie,91,Animation
14,Pirates of the Caribbean: At World's End,168,Adventure
15,I Am Legend,100,Horror
16,Ratatouille,111,Animation
17,Troy,162,Adventure
18,Harry Potter and the Goblet of Fire,156,Fantasy
19,Batman Begins,141,Action
20,Charlie and the Chocolate Factory,115,Fantasy
21,Pirates of the Caribbean: Dead Man's Chest,151,Adventure
22,Die Another Day,133,Thriller
23,Lethal Weapon 4,127,Action
24,Armageddon,151,Science Fiction
25,Men in Black II,89,Science Fiction
26,Spider-Man 3,139,Action
27,Spider-Man 2,127,Action
28,Stealth,121,Action
29,Final Fantasy: The Spirits Within,106,Animation
30,Miami Vice,134,Thriller
31,The World Is Not Enough,128,Thriller
32,Master and Commander: The Far Side of the World,138,Adventure
33,War of the Worlds,116,Science Fiction
34,The Bourne Ultimatum,115,Thriller
35,Harry Potter and the Prisoner of Azkaban,141,Fantasy
36,The Matrix Reloaded,138,Science Fiction
37,The Da Vinci Code,146,Mystery
38,Harry Potter and the Philosopher's Stone,152,Fantasy
39,The Day After Tomorrow,124,Thriller
40,Pirates of the Caribbean: Curse of the Black Pearl,135,Adventure
41,The Last Samurai,154,Adventure
42,The Perfect Storm,130,Adventure
43,Mission: Impossible III,125,Thriller
44,Mission: Impossible II,123,Thriller
45,Windtalkers,134,War
46,Star Wars: Episode II - Attack of the Clones,142,Science Fiction
47,"Monsters, Inc.",92,Animation
48,Star Wars: Episode I - The Phantom Menace,133,Science Fiction
49,Star Wars: Episode III - Revenge of the Sith,140,Science Fiction
50,The Matrix Revolutions,129,Science Fiction
51,Tomorrow Never Dies,119,Thriller
52,Ocean's Eleven,117,Crime
53,Live Free or Die Hard,130,Action
54,Around the World in 80 Days,120,Adventure
55,Kingdom of Heaven,144,Adventure
56,Mr. & Mrs. Smith,120,Action
57,The Aviator,170,Biography
58,Ali,157,Biography
59,The Lord of the Rings: Fellowship of the Ring,178,Fantasy
60,"I, Robot",115,Science Fiction
61,Casino Royale,144,Thriller
62,Minority Report,145,Science Fiction
63,Terminator 2: Judgement Day,136,Science Fiction
64,Catwoman,104,Action
65,Harry Potter and the Chamber of Secrets,155,Fantasy
66,American Gangster,158,Biography
67,Blood Diamond,143,Adventure
68,Gladiator,155,Adventure
69,True Lies,141,Thriller
70,Gangs of New York,160,Drama
71,Black Hawk Down,144,War
72,The Fifth Element,127,Science Fiction
73,The Lord of the Rings: Return of the King,201,Fantasy
74,The Lord of the Rings: The Two Towers,179,Fantasy
75,Rush Hour 3,91,Martial Arts
76,Rush Hour 2,90,Martial Arts
77,Men in Black,98,Science Fiction
78,The Departed,151,Thriller
79,Die Hard: With A Vengeance,131,Action
80,Cinderella Man,144,Drama
81,The Bourne Supremacy,108,Thriller
82,Last Action Hero,130,Action
83,Cast Away,143,Drama
84,Ocean's Twelve,125,Crime
85,Click,107,Comedy
86,Bruce Almighty,101,Comedy
87,Mission: Impossible,110,Thriller
88,Deep Impact,121,Science Fiction
89,Road to Perdition,117,Crime
90,A Beautiful Mind,135,Drama
91,Children of Men,109,Science Fiction
92,Munich,163,Drama
93,Independence Day,145,Science Fiction
94,X-Men,104,Action
95,X2,134,Action
96,The Rock,136,Thriller
97,Constantine,121,Thriller
98,Unbreakable,106,Drama
99,Talladega Nights: The Ballad of Ricky Bobby,108,Comedy
100,The Simpsons Movie,87,Animation
101,Braveheart,177,History
102,Jarhead,125,War
103,The Village,108,Thriller
104,Shrek the Third,93,Animation
105,Shrek 2,93,Animation
106,The Abyss,140,Science Fiction
107,Star Trek: Insurrection,103,Science Fiction
108,Who Framed Roger Rabbit?,103,Comedy
109,Sleepy Hollow,105,Horror
110,xXx,124,Action
111,Die Hard 2,124,Action
112,The Long Kiss Goodnight,120,Action
113,Apollo 13,140,History
114,Saving Private Ryan,170,War
115,Fight Club,139,Thriller
116,The Matrix,136,Science Fiction
117,Total Recall,113,Science Fiction
118,Cliffhanger,113,Action
119,Clear and Present Danger,141,Thriller
120,GoldenEye,130,Thriller
121,The Black Dahlia,122,Crime
122,The Truman Show,103,Drama
123,Event Horizon,96,Science Fiction
124,The Bourne Identity,118,Thriller
125,Hellboy,122,Action
126,Starsky & Hutch,101,Comedy
127,Intolerable Cruelty,100,Comedy
128,300,117,Adventure
129,Star Trek: Nemesis,116,Science Fiction
130,Superman,143,Adventure
131,Crimson Tide,116,Thriller
132,Deja Vu,126,Thriller
133,Man On Fire,146,Thriller
134,Enemy of the State,132,Thriller
135,Kill Bill: Vol. 1,111,Martial Arts
136,Alien 3,115,Science Fiction
137,Shanghai Noon,110,Martial Arts
138,Kill Bill: Vol. 2,136,Martial Arts
139,Blade II,116,Action
140,Flags of our Fathers,132,War
141,Casino,178,Crime
142,Robin Hood: Prince of Thieves,155,Adventure
143,Shrek,90,Animation
144,Shanghai Knights,114,Martial Arts
145,Indiana Jones and the Last Crusade,127,Adventure
146,Star Trek: First Contact,111,Science Fiction
147,Blade,120,Fantasy
148,Patriot Games,117,Thriller
149,The Fugitive,130,Thriller
150,The Prestige,130,Mystery
151,The Last of the Mohicans,112,Adventure
152,Apocalypto,138,Adventure
153,Wedding Crashers,119,Comedy
154,Back to the Future Part III,118,Science Fiction
155,Back to the Future Part II,108,Science Fiction
